Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,0.004517464949007249,17.81506784915613,-0.205950837213166
10.58424294923851,0.02560838906984199,17.78467200261434,-0.2489599197801482
11.2026198808505,0.01851762775550102,17.78576628649112,-0.3106648569457775
11.85712504868911,0.03181359992262917,17.7699629052831,-0.2874172331390952
12.54986921948269,0.01320358965943709,17.78511479173509,-0.3128516694082819
13.28308648001751,0.01533325147328812,17.77951666643979,-0.1748720404589506
14.05914144202507,0.01051708948920091,17.78299214437285,-0.2614950105889307
14.88053686801006,0.0183184897513647,17.77526655044664,-0.3104424268564827
15.74992174261191,0.0111507906635306,17.78011947288178,-0.4243205927249392
16.67009981552986,0.0270853458533165,17.76357623767226,-0.411338755623504
17.64403864356239,0.01713289444734944,17.77386528739111,-0.5210017830915632
18.6748791609217,0.01249710701715948,17.77501392871079,-0.5320735513915693
19.76594580868665,0.02517354882378973,17.76236380707425,-0.5663621498938767
20.92075725606221,0.009486193636901986,17.77682631416637,-0.5469823594710508
22.14303774802068,0.02758669941995935,17.75930267573531,-0.542362747269749
23.436729115921,0.02449977127975513,17.76286157080991,-0.5740347138355588
24.80600348983997,0.03173147214835697,17.75365617897532,-0.6388800741337519
26.25527675361243,0.01822100263219242,17.76536238117092,-0.6637165671914289
27.78922278597281,0.006013109617999971,17.77677045727814,-0.6982138950155985
29.41278853372508,0.01122326715283161,17.77371435038168,-0.7685774702429171
31.13120996555226,0.03322513772430834,17.74988841628255,-0.8828235383981564
32.95002895791605,0.02197303783894337,17.76233266715488,-0.9670983310765067
34.87511116750276,0.0276181545995908,17.7558833764232,-0.9760556539392944
36.91266494785499,0.01358435860400699,17.77044708070532,-0.9794353183533531
39.06926137119375,0.01371762324037229,17.76938076038088,-1.103704937040135
41.35185542000135,0.006323999238344144,17.77396045566643,-1.059891331533592
43.76780841670799,0.00567830688138991,17.77871585129762,-1.126569246617597
46.3249117638163,0.0002280731957824005,17.781978169321,-1.167357015116323
49.03141207102686,0.02423755237611262,17.75678216806098,-1.338907481367187
51.8960377503974,0.03909040037644543,17.74056686569376,-1.413842587176362
54.92802716530586,0.02435737799386602,17.75652187769261,-1.514042034536232
58.13715842399698,0.01335993598108437,17.76741680444762,-1.604509801470314
61.53378091379528,0.02173562003971895,17.75683328769673,-1.737556104084916
65.12884867768241,-0.00163829240895319,17.78036502296591,-1.663665101865561
68.93395574087819,0.01028158657888971,17.76484561307538,-2.033551447995109
72.96137350135093,0.0191984992460642,17.76047514993024,-2.045519198374791
77.22409030484302,0.02045809225550695,17.75627403755674,-2.110219299653664
81.73585333203927,0.01261680289296197,17.76520457809229,-2.194538242232852
86.51121293296302,0.01723448285809988,17.75737447719165,-2.379886907340477
91.56556955157842,0.01395162653060143,17.75916717991323,-2.432257936504108
96.91522339193011,0.02314237410642092,17.74625763651413,-2.61995711800823
