Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.07401090803451278,17.90082667095403,-0.4147649600325138
10.58424294923851,-0.08458071472546001,17.90736140605202,-0.481195226992682
11.2026198808505,-0.06883032705339281,17.88957471180851,-0.4389072969086669
11.85712504868911,-0.07996663291522078,17.8987302431529,-0.5194242089366554
12.54986921948269,-0.07227814643579572,17.88864821238207,-0.5690075966045214
13.28308648001751,-0.07242742551041748,17.88805152701198,-0.6113575650715148
14.05914144202507,-0.06553333890552424,17.87996661317896,-0.5851721717915055
14.88053686801006,-0.04449094267221566,17.85669905911428,-0.6084780799137235
15.74992174261191,-0.0651509699808604,17.87378196199224,-0.5416853113757583
16.67009981552986,-0.07458891265641271,17.88603175013939,-0.660638341114236
17.64403864356239,-0.05806515907104322,17.86834719364517,-0.7350962353219117
18.6748791609217,-0.06947939927309336,17.87797381148882,-0.8126559228011416
19.76594580868665,-0.07679316255115758,17.88566870050625,-0.8923520495956154
20.92075725606221,-0.07408146559055295,17.88093677077515,-0.917456398963381
22.14303774802068,-0.08469207532492798,17.89331791120898,-0.8463727231839115
23.436729115921,-0.07491482916036848,17.88206065181813,-1.066922370926051
24.80600348983997,-0.05606148633485758,17.86321160928849,-1.088716931247177
26.25527675361243,-0.04961939299245057,17.85660935854106,-1.113822589101886
27.78922278597281,-0.07834974364965624,17.88419661580602,-1.142709448307414
29.41278853372508,-0.0756088689721256,17.8782235112724,-1.207864305553388
31.13120996555226,-0.06628549338313006,17.87167238511965,-1.357781571063683
32.95002895791605,-0.06255455226047948,17.86560152771077,-1.384960726507216
34.87511116750276,-0.06567054735439197,17.86840550282309,-1.387352574128997
36.91266494785499,-0.06719263924977188,17.86917315558917,-1.617963133100773
39.06926137119375,-0.09459327583451907,17.89526620994585,-1.581955885104584
41.35185542000135,-0.09192499125542788,17.89039889277919,-1.70887950556282
43.76780841670799,-0.07257074041535266,17.87075453516423,-1.835436793670112
46.3249117638163,-0.05015036774872478,17.84912929256269,-2.047920876981385
49.03141207102686,-0.0964438970814866,17.89311026063891,-1.990581574593477
51.8960377503974,-0.06405387936674456,17.86281844190345,-2.206765174505392
54.92802716530586,-0.08111044865082433,17.8737611598916,-2.275871819832545
58.13715842399698,-0.08225718162465775,17.87538273293051,-2.366412733051007
61.53378091379528,-0.08089138404491136,17.870870055296,-2.587563233533473
65.12884867768241,-0.07182484795693722,17.85883379374317,-2.707023307988976
68.93395574087819,-0.06619172510730872,17.85438564598783,-2.93476720507897
72.96137350135093,-0.07474673274180518,17.86189233768551,-3.163332371683918
77.22409030484302,-0.0540003487963607,17.83805565727397,-3.266371823219799
81.73585333203927,-0.07976769189066646,17.8646574912556,-3.420758208091115
86.51121293296302,-0.07002271603579671,17.84664412007622,-3.605417493333903
91.56556955157842,-0.06605729929295134,17.8424594482271,-3.753814779624122
96.91522339193011,-0.06516627856110382,17.84416025742697,-4.03491494820446
102.5774269859912,-0.07833465403845491,17.84743694751605,-4.256489367576677
108.5704408327505,-0.05582807131637293,17.82530399230445,-4.444463488974748
114.9135922879754,-0.07475975730423223,17.83567265675728,-4.686325955063978
121.6273378945674,-0.08507320921258012,17.84629219611231,-5.026578868615154
128.7333293545225,-0.08450478293466193,17.84038830917113,-5.331290630195824
136.2544833552602,-0.04826207092863224,17.79809443707662,-5.536510293500427
144.2150554755048,-0.05478099471419202,17.80011402318712,-5.884730618794322
152.6407184090652,-0.04456127392168983,17.7836585142005,-6.210176248619462
161.5586447587848,-0.06567060111028308,17.7990464126711,-6.617920878952276
170.9975946676697,-0.0696070425431335,17.78948688717566,-6.992675442757175
180.9880085698029,-0.07887346826413397,17.79040613615565,-7.448332832943606
191.5621053601653,-0.06648670024120752,17.77557438448571,-7.842635554643778
202.7539862999612,-0.06638384885172596,17.76437284198223,-8.247500251466448
214.5997449925365,-0.05748263414658682,17.74486190632643,-8.721354718126884
227.1375837845639,-0.06998826904527,17.7438689347344,-9.127064143068594
240.4079369678839,-0.07127446628068723,17.73092854629651,-9.829991997234295
254.4536011793301,-0.06967114264998624,17.71507816306731,-10.30502788420233
269.3198734190672,-0.04967123516911463,17.6768874366092,-10.76814069683768
285.0546971325567,-0.08669442381253628,17.6923957275551,-11.42900935675077
301.7088168272581,-0.0812067027741665,17.66721584531703,-12.35648024495316
319.3359417227003,-0.05565938536775347,17.62147474290758,-12.81669222909663
337.9929189616926,-0.05627765861431944,17.5982374015944,-13.56210172774673
357.7399169412834,-0.06085923476770315,17.57726193165378,-14.3470820535345
378.6406193546952,-0.06138523225493547,17.54544061242062,-15.24964068935465
400.7624305700231,-0.04892426069041218,17.49662819193778,-15.96861583331315
424.1766930080449,-0.05972775781672934,17.47253539880872,-16.87861310184567
448.9589172201711,-0.05592864520920161,17.43091127840222,-17.63807317478357
475.1890254085353,-0.06460506333327705,17.38823016542299,-18.75800625411118
502.9516091735803,-0.07857205283573399,17.3533471546645,-19.75338724164676
532.3362023203628,-0.0534511875354725,17.27453528764349,-20.83333987065974
563.4375696033708,-0.07269535265334059,17.23477872596747,-21.83766551288105
596.3560123410552,-0.0743185553653951,17.16610312275544,-23.07308194585769
631.1976918856806,-0.07282444397755856,17.09339625229557,-24.23049854586714
668.0749719916639,-0.05825944103367756,16.99795456436419,-25.43216274429113
707.1067811865476,-0.06844046309756016,16.92405761594469,-26.65846411708534
748.4189963132453,-0.06792262453873255,16.82907809679456,-28.10089749534739
792.1448484804624,-0.08493490933443248,16.73710769028573,-29.44177766243812
838.4253527304941,-0.07620094896940112,16.62156044406002,-31.07052054739999
887.4097628100533,-0.05921710507086862,16.48166479040194,-32.56664579950082
939.2560525107727,-0.06286781722349598,16.34840943759881,-33.85402769848528
994.1314251316742,-0.06192692469352828,16.21663552226796,-35.61058581000301
1052.212852706634,-0.05195416701619843,16.05252225070881,-37.1095710505611
1113.687646735833,-0.06742635960597587,15.90053675054878,-38.68651217572084
1178.754062261777,-0.0633303466295326,15.72278298783896,-40.36925741708332
1247.621937238045,-0.09399268454740138,15.56281645119237,-41.93192330846129
1320.513369252708,-0.04656025524724702,15.31970356246698,-43.80445184372654
1397.663431788814,-0.0739021349052969,15.14009255246446,-45.24912401606929
1479.320932331926,-0.08835026734751243,14.93089318979203,-47.14606065304491
1565.749214769513,-0.02899852255256902,14.63477467840391,-49.07067291996147
1657.227008669993,-0.04270178735091154,14.40069051963207,-50.78563358501748
1754.049328180301,-0.05127195372166567,14.15725427544715,-52.63763344821194
1856.528423440887,-0.01017416854155866,13.84298725138803,-53.97822673078279
1964.994787586509,-0.01272083827099351,13.56238803387492,-56.28995341153018
2079.798222580294,-0.01429867520187922,13.28019635329705,-57.69397492998168
2201.308967318424,-0.04874033387152227,12.99233150644686,-59.60564616928528
2329.918891643553,-0.006272122106106156,12.63335889021209,-61.40173466349417
2466.042760117587,-0.002617097920610463,12.31456226070612,-63.2417757448117
2610.119569629524,-0.02201140507354098,11.99851141752822,-65.00772005487285
2762.613965152073,-0.009754453937824184,11.63647114878838,-66.59472396931696
