,Time (s),Channel 1 (V),Channel 2 (V)
6758,0.0016774303846153,-0.5041248966945797,-0.9762601656654404
6759,0.0016780603846153,-0.511548220602913,-0.9908652302400807
6760,0.0016786903846153,-0.511548220602913,-0.9908652302400807
6761,0.0016793203846153,-0.511548220602913,-0.9799114318091
6762,0.0016799503846153,-0.5078365586487463,-0.9580038349471405
6763,0.0016805803846153,-0.5041248966945797,-0.9178399073668704
6764,0.0016812103846153,-0.5004132347404131,-0.8667221813556107
6765,0.0016818403846153,-0.5078365586487463,-0.8192557214880214
6766,0.0016824703846153,-0.5041248966945797,-0.7462303986148004
6767,0.0016831003846153,-0.5078365586487463,-0.6914614064598901
6768,0.0016837303846153,-0.5041248966945797,-0.6184360835866709
6769,0.0016843603846153,-0.5041248966945797,-0.5673183575754202
6770,0.0016849903846153,-0.5004132347404131,-0.5162006315641712
6771,0.0016856203846153,-0.5004132347404131,-0.46143163940925014
6772,0.0016862503846153,-0.5041248966945797,-0.40666264725434154
6773,0.0016868803846153,-0.5004132347404131,-0.3591961873867504
6774,0.0016875103846153,-0.4967015727862465,-0.3080784613754908
6775,0.0016881403846153,-0.4967015727862465,-0.2606120015079032
6776,0.0016887703846153,-0.5004132347404131,-0.21314554164031208
6777,0.0016894003846153,-0.5004132347404131,-0.16567908177271917
6778,0.0016900303846153,-0.5004132347404131,-0.11821262190512805
6779,0.0016906603846153,-0.5041248966945797,-0.07074616203753692
6780,0.0016912903846153,-0.5041248966945797,-0.1474227510544175
6781,0.0016919203846153,-0.5041248966945797,-0.2533094692205804
6782,0.0016925503846153,-0.5041248966945797,-0.38475505039237134
6783,0.0016931803846153,-0.5041248966945797,-0.5015955669895202
6784,0.0016938103846153,-0.5041248966945797,-0.6074822851556902
6785,0.0016944403846153,-0.5078365586487463,-0.6987639387472111
6786,0.0016950703846153,-0.5041248966945797,-0.7717892616204303
6787,0.0016957003846153,-0.5004132347404131,-0.8302095199190003
6788,0.0016963303846153,-0.511548220602913,-0.87402471364293
6789,0.0016969603846153,-0.5078365586487463,-0.9068861089358808
6790,0.0016975903846153,-0.5078365586487463,-0.928793705797851
6791,0.0016982203846153,-0.5041248966945797,-0.9360962380851703
6792,0.0016988503846153,-0.5078365586487463,-0.928793705797851
6793,0.0016994803846153,-0.5078365586487463,-0.9141886412232001
6794,0.0017001103846153,-0.5078365586487463,-0.8886297782175809
