#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2024-04-19 11:07:19.880
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002580109615384615,0.4312139157554108,-9.22670750663206
-0.002579479615384616,0.4312139157554108,-9.317989160223542
-0.002578849615384615,0.4386372396637441,-9.394665749240463
-0.002578219615384615,0.4349255777095775,-9.460388539826383
-0.002577589615384616,0.4349255777095775,-9.515157531981272
-0.002576959615384615,0.4386372396637441,-9.555321459561542
-0.002576329615384616,0.4386372396637441,-9.588182854854477
-0.002575699615384616,0.4349255777095775,-9.599136653285473
-0.002575069615384615,0.4349255777095775,-9.602787919429135
-0.002574439615384616,0.4349255777095775,-9.599136653285475
-0.002573809615384615,0.4349255777095775,-9.58453158871083
-0.002573179615384615,0.4349255777095758,-9.551670193417863
-0.002572549615384616,0.4312139157554108,-9.511506265837612
-0.002571919615384615,0.4275022538012442,-9.464039805970019
-0.002571289615384615,0.4312139157554125,-9.409270813815084
-0.002570659615384616,0.4349255777095775,-9.361804353947514
-0.002570029615384615,0.4349255777095775,-9.314337894079923
-0.002569399615384616,0.4349255777095775,-9.248615103494057
-0.002568769615384615,0.4312139157554108,-9.204799909770095
-0.002568139615384615,0.4349255777095775,-9.160984716046144
-0.002567509615384616,0.4349255777095775,-9.113518256178573
-0.002566879615384615,0.4275022538012442,-9.069703062454643
-0.002566249615384615,0.4312139157554074,-9.029539134874355
-0.002565619615384616,0.4237905918470776,-8.989375207294103
-0.002564989615384615,0.4349255777095775,-8.945560013570171
-0.002564359615384616,0.4386372396637424,-8.905396085989919
-0.002563729615384615,0.4386372396637441,-8.865232158409631
-0.002563099615384615,0.4349255777095775,-8.825068230829388
-0.002562469615384616,0.4349255777095775,-8.883488489127936
-0.002561839615384615,0.4312139157554108,-8.967467610432136
-0.002561209615384615,0.4237905918470792,-9.084308127029333
-0.002560579615384616,0.4275022538012442,-9.190194845195451
-0.002559949615384615,0.4349255777095775,-9.281476498786974
-0.002559319615384616,0.4312139157554125,-9.365455620091137
-0.002558689615384616,0.4386372396637441,-9.434829676820732
-0.002558059615384615,0.4349255777095775,-9.493249935119307
-0.002557429615384616,0.4312139157554108,-9.537065128843238
-0.002556799615384615,0.4312139157554108,-9.566275257992524
-0.002556169615384615,0.4312139157554125,-9.588182854854498
-0.002555539615384616,0.4349255777095775,-9.602787919429135
-0.002554909615384615,0.4275022538012442,-9.602787919429135
-0.002554279615384616,0.4275022538012442,-9.591834120998156
-0.002553649615384616,0.4275022538012442,-9.566275257992524
-0.002553019615384615,0.4312139157554108,-9.529762596555916
-0.002552389615384616,0.4349255777095775,-9.485947402831986
-0.002551759615384615,0.4349255777095775,-9.438480942964393
-0.002551129615384615,0.4386372396637424,-9.372758152378484
-0.002550499615384616,0.4349255777095775,-9.343548023229209
-0.002549869615384615,0.4349255777095775,-9.274173966499653
-0.002549239615384616,0.4386372396637424,-9.219404974344764
-0.002548609615384616,0.4386372396637441,-9.175589780620808
-0.002547979615384615,0.4386372396637441,-9.135425853040537
-0.002547349615384616,0.4349255777095791,-9.091610659316627
-0.002546719615384615,0.4349255777095775,-9.044144199449015
-0.002546089615384615,0.4349255777095791,-9.003980271868727
-0.002545459615384616,0.4386372396637441,-8.960165078144815
-0.002544829615384615,0.4386372396637441,-8.916349884420883
-0.002544199615384616,0.4349255777095791,-8.879837222984291
-0.002543569615384616,0.4312139157554108,-8.843324561547666
-0.002542939615384615,0.4312139157554108,-8.854278359978649
-0.002542309615384616,0.4312139157554108,-8.934606215139151
-0.002541679615384615,0.4275022538012442,-9.044144199449015
-0.002541049615384615,0.423790591847081,-9.150030917615226
-0.002540419615384616,0.4312139157554108,-9.248615103494027
-0.002539789615384615,0.4312139157554108,-9.336245490941888
-0.002539159615384616,0.4275022538012458,-9.412922079958731
-0.002538529615384616,0.4275022538012442,-9.474993604401002
-0.002537899615384615,0.4349255777095775,-9.522460064268595
-0.002537269615384616,0.4312139157554125,-9.562623991848847
-0.002536639615384615,0.4275022538012442,-9.588182854854491
-0.002536009615384615,0.423790591847081,-9.595485387141814
-0.002535379615384616,0.4312139157554108,-9.599136653285473
-0.002534749615384615,0.4275022538012442,-9.591834120998151
-0.002534119615384615,0.4312139157554108,-9.580880322567156
-0.002533489615384616,0.4312139157554108,-9.55167019341788
-0.002532859615384615,0.4275022538012442,-9.511506265837612
-0.002532229615384616,0.4275022538012442,-9.464039805970041
-0.002531599615384615,0.4312139157554108,-9.401968281527784
-0.002530969615384615,0.4349255777095775,-9.358153087803828
-0.002530339615384616,0.4349255777095775,-9.303384095648941
-0.002529709615384615,0.4349255777095775,-9.244963837350365
-0.002529079615384615,0.4349255777095791,-9.197497377482756
-0.002528449615384616,0.4386372396637441,-9.157333449902504
-0.002527819615384615,0.4386372396637441,-9.109866990034911
-0.002527189615384616,0.4349255777095791,-9.058749264023682
-0.002526559615384615,0.4386372396637441,-9.018585336443389
-0.002525929615384615,0.4386372396637441,-8.97842140886312
