,Time (s),Channel 1 (V),Channel 2 (V)
0,-0.002580039,0.349574055542981,
1,-0.002579409,0.342192161068901,
2,-0.002578779,0.3421921610688977,
3,-0.002578149,0.3385012138318561,
4,-0.002577519,0.3385012138318561,
5,-0.002576889,0.3348102665948144,
6,-0.002576259,0.3385012138318544,
7,-0.002575629,0.3421921610688977,
8,-0.002574999,0.3421921610688977,
9,-0.002574369,0.3385012138318577,
10,-0.002573739,0.3348102665948144,
11,-0.002573109,0.3385012138318577,
12,-0.002572479,0.3421921610688977,
13,-0.002571849,0.3385012138318561,
14,-0.002571219,0.3348102665948144,
15,-0.002570589,0.3348102665948144,
16,-0.002569959,0.3385012138318561,
17,-0.002569329,0.3385012138318561,
18,-0.002568699,0.3385012138318561,
19,-0.002568069,0.3421921610688977,
20,-0.002567439,0.3421921610688977,
21,-0.002566809,0.3421921610688977,
22,-0.002566179,0.3458831083059377,
23,-0.002565549,0.3421921610688977,
24,-0.002564919,0.3421921610688977,
25,-0.002564289,0.3458831083059377,
26,-0.002563659,0.349574055542981,
27,-0.002563029,0.3458831083059394,
28,-0.002562399,0.3458831083059394,
29,-0.002561769,0.3458831083059394,
30,-0.002561139,0.345883108305941,
31,-0.002560509,0.349574055542981,0.3767485157259119
32,-0.002559879,0.3458831083059394,0.3749188668639197
33,-0.002559249,0.3385012138318594,0.37308921800192757
34,-0.002558619,0.3348102665948144,0.37137392219380994
35,-0.002557989,0.3385012138318561,0.3697729794395679
36,-0.002557359,0.3348102665948144,0.3682863897391993
37,-0.002556729,0.3311193193577727,0.36702850614657984
38,-0.002556099,0.3385012138318544,0.36611368171558234
39,-0.002555469,0.3348102665948144,0.36542756339233534
40,-0.002554839,0.3274283721207311,0.36485579812296276
41,-0.002554209,0.3348102665948111,0.36462709201521354
42,-0.002553579,0.3348102665948144,0.364512738961339
43,-0.002552949,0.3311193193577727,0.36474144506908784
44,-0.002552319,0.3385012138318561,0.36519885728458584
45,-0.002551689,0.3348102665948144,0.365884975607833
46,-0.002551059,0.3385012138318561,0.3664567408772056
47,-0.002550429,0.3385012138318561,0.36702850614657817
48,-0.002549799,0.3348102665948144,0.3679433305775743
49,-0.002549169,0.3348102665948144,0.3682863897391981
50,-0.002548539,0.3348102665948144,0.36942992027794325
51,-0.002547909,0.3311193193577727,0.370459097762813
52,-0.002547279,0.3348102665948127,0.37137392219380827
53,-0.002546649,0.3348102665948144,0.37183133440930627
54,-0.002546019,0.3348102665948144,0.3724030996786788
55,-0.002545389,0.3348102665948144,0.37308921800192585
56,-0.002544759,0.3385012138318561,0.3737753363251729
57,-0.002544129,0.3385012138318561,0.3743471015945454
58,-0.002543499,0.3421921610688977,0.37480451381004337
59,-0.002542869,0.3458831083059394,0.3751475729716664
60,-0.002542239,0.3421921610688994,0.3757193382410383
61,-0.002541609,0.3385012138318561,0.37617675045653637
62,-0.002540979,0.3421921610688961,0.37457580770229315
63,-0.002540349,0.3385012138318561,0.3726318057864266
64,-0.002539719,0.3348102665948144,0.37068780387055994
65,-0.002539089,0.3348102665948144,0.36897250806244214
66,-0.002538459,0.3311193193577727,0.36748591836207345
67,-0.002537829,0.3348102665948144,0.3659993286617048
68,-0.002537199,0.3348102665948144,0.3647414450690862
69,-0.002536569,0.3385012138318561,0.36371226758421554
70,-0.002535939,0.3311193193577711,0.36302614926096854
71,-0.002535309,0.3274283721207311,0.36245438399159596
72,-0.002534679,0.3274283721207311,0.36222567788384696
73,-0.002534049,0.3274283721207311,0.36188261872222327
74,-0.002533419,0.3274283721207311,0.3617682656683488
75,-0.002532789,0.3274283721207311,0.3617682656683488
76,-0.002532159,0.3237374248836911,0.362111324829972
77,-0.002531529,0.3311193193577727,0.36256873704547
78,-0.002530899,0.3385012138318544,0.36314050231484263
79,-0.002530269,0.3348102665948144,0.3638266206380897
80,-0.002529639,0.3348102665948144,0.36451273896133674
81,-0.002529009,0.3348102665948144,0.36474144506908734
82,-0.002528379,0.3348102665948144,0.3656562695000834
83,-0.002527749,0.3348102665948144,0.3662280347694559
84,-0.002527119,0.3348102665948144,0.36657109393107956
85,-0.002526489,0.3274283721207311,0.36714285920045203
86,-0.002525859,0.3311193193577727,0.36782897752369853
87,-0.002525229,0.3311193193577727,0.36840074279307106
88,-0.002524599,0.3311193193577727,0.36897250806244364
89,-0.002523969,0.3348102665948161,0.3695442733318173
90,-0.002523339,0.3385012138318561,0.37011603860118986
91,-0.002522709,0.3385012138318561,0.3706878038705624
92,-0.002522079,0.3385012138318561,0.3711452160860605
93,-0.002521449,0.3385012138318561,0.37045909776281344
94,-0.002520819,0.3385012138318561,0.36908686111632055
95,-0.002520189,0.3348102665948144,0.3670285061465793
96,-0.002519559,0.3311193193577727,0.3649701511768381
97,-0.002518929,0.3274283721207311,0.3631405023148433
98,-0.002518299,0.3274283721207311,0.36142520650672566
99,-0.002517669,0.3311193193577727,0.36016732291410614
100,-0.002517039,0.3311193193577727,0.35902379237536086
101,-0.002516409,0.3274283721207311,0.35810896794436475
102,-0.002515779,0.3274283721207311,0.3570797904594946
103,-0.002515149,0.3311193193577711,0.3566223782439968
104,-0.002514519,0.3274283721207311,0.3563936721362478
105,-0.002513889,0.3237374248836911,0.35650802519012237
106,-0.002513259,0.3274283721207311,0.35673673129787137
107,-0.002512629,0.3237374248836895,0.35696543740562037
108,-0.002511999,0.3274283721207294,0.35719414351336937
109,-0.002511369,0.3311193193577727,0.3576515557288674
110,-0.002510739,0.3274283721207311,0.3582233209982393
111,-0.002510109,0.3311193193577711,0.35913814542923456
