#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2024-04-26 10:51:56.575
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002580039,0.349574055542981,-9.033595198809957
-0.002579409,0.342192161068901,-9.143374130529436
-0.002578779,0.3421921610688977,-9.245834466801046
-0.002578149,0.3385012138318561,-9.333657612176705
-0.002577519,0.3385012138318561,-9.410502864380341
-0.002576889,0.3348102665948144,-9.480029521136043
-0.002576259,0.3385012138318544,-9.542237582443747
-0.002575629,0.3421921610688977,-9.589808452855571
-0.002574999,0.3421921610688977,-9.62274213237143
-0.002574369,0.3385012138318577,-9.644697918715325
-0.002573739,0.3348102665948144,-9.652016514163304
-0.002573109,0.3385012138318577,-9.655675811887285
-0.002572479,0.3421921610688977,-9.648357216439321
-0.002571849,0.3385012138318561,-9.626401430095415
-0.002571219,0.3348102665948144,-9.586149155131567
-0.002570589,0.3348102665948144,-9.542237582443775
-0.002569959,0.3385012138318561,-9.498326009755964
-0.002569329,0.3385012138318561,-9.436117948448258
-0.002568699,0.3385012138318561,-9.410502864380341
-0.002568069,0.3421921610688977,-9.344635505348597
-0.002567439,0.3421921610688977,-9.289746039488858
-0.002566809,0.3421921610688977,-9.242175169077061
-0.002566179,0.3458831083059377,-9.201922894113217
-0.002565549,0.3421921610688977,-9.161670619149406
-0.002564919,0.3421921610688977,-9.12141834418558
-0.002564289,0.3458831083059377,-9.081166069221769
-0.002563659,0.349574055542981,-9.03725449653394
-0.002563029,0.3458831083059394,-8.993342923846113
-0.002562399,0.3458831083059394,-8.956749946606285
-0.002561769,0.3458831083059394,-8.916497671642459
-0.002561139,0.345883108305941,-8.909179076194526
-0.002560509,0.349574055542981,-8.986024328398161
-0.002559879,0.3458831083059394,-9.092143962393706
-0.002559249,0.3385012138318594,-9.201922894113185
-0.002558619,0.3348102665948144,-9.30072393266081
-0.002557989,0.3385012138318561,-9.38488778031245
-0.002557359,0.3348102665948144,-9.458073734792135
-0.002556729,0.3311193193577727,-9.520281796099869
-0.002556099,0.3385012138318544,-9.571511964235668
-0.002555469,0.3348102665948144,-9.611764239199477
-0.002554839,0.3274283721207311,-9.641038620991351
-0.002554209,0.3348102665948111,-9.652016514163298
-0.002553579,0.3348102665948144,-9.655675811887289
-0.002552949,0.3311193193577727,-9.648357216439321
-0.002552319,0.3385012138318561,-9.633720025543383
